,reviewText,Positive
0,apps acording bunch agree bomb egg pig tnt king pig realustic stuff,1
1,pretty version game free . lot different level play . kid enjoy lot .,1
2,cool game . bunch level find golden egg . super fun .,1
3,"silly game frustrating , lot fun definitely recommend fun time .",1
4,terrific game pad . hr fun . grandkids love . great entertainment waiting long line,1
5,entertaining game ! n't smart play . guess 's ... 's easy fun 's game suppose . warned : game highly addictive .,1
6,awesome n't wi play trust . fun addicting . 100 level free n't waste money expensive . app,1
7,awesome bet read review game n't,1
8,basicly free version ad . 's awesome ! ! ! ! 's addicting free time . 'd reccomend .,1
9,free app available . helped pas time . n't pas . p hate 20 word minimum !,1
10,"definitely great game . 6-year-old grand-nephew teach trick . figured , configuration tough beat . n't particularly spending 45 minute completing level ,",1
11,. fun time consuming . work great kindle fire game btother,1
12,"physic game , free game , bird game . free version ipod . level add pop corner barely noticeable .",1
13,great ! & game cure boredom ! great & 3 star level !,1
14,apps world angry bird game . great passing time .,1
15,super fun frustrating time ! ! ! ! ! ! ! ! ! loved kindle beg brother dad play . play time ! ! ! ! ! !,1
16,"free version angry bird . fashioned version angry bird series . huge partially difficult game . played angry bird time , 'll love",1
17,app . make easier babysitt mental kid . app fun .,1
18,app downloaded 1 2 3 4 star n't supposed purfor 5 star app,1
19,bestest game omg . excited : play omg ! ! ! ! ! ! ! omg omg omg love angry bird bomb diggety cool omg omg omg omg omg,1
20,game ! ! ! ! ! fun addicting . different episode amazing . love !,1
21,game buy awesome game wide world . :,1
22,game of.i downloaded fav . character original pig.yay love,1
23,angry bird . in2 'll lea wanting angry bird season angry bird rio . 're fantastic ! ! ! ! ! ! ! !,1
24,"app installed onkindle fire , full color 7 '' multi-touch display , wi-fiwhich purchased recently amazon . angry bird ( free version ) work smoothly kindle fire.love smooth graphic ! responds perfectly ple",1
25,"full version ad . free apps app store . io , free version demo . buy . save 99 cent exact paid version . recommend . mu",1
26,game . comment r stupid . app n't wifi . app lot free n't love angry bird ! ! !,1
27,game ... love . find game,1
28,apps becase time consuming game becase wifi,1
29,"original anfry bird game work original kindle fire hd version.new note - updated work kindle fire hd . course happen bought paid version ,",1
30,"popular game 've hearing long time friend dared download play . damned addicted game . love . turned husband game , . , 'll ,",1
31,"busy time . happy app , problems.p.s.good luck green booger !",1
32,physic based game perfect age spend extra time mobile device . offer challenge . work kindle fire .,1
33,"popular kindle fire hand . lot fun free time graphic , nice .",1
34,fun ! daughter vthis app iphone realized fun downloaded kindle fire . highly recommend app ... work great kindle fire !,1
35,"entertaining challenging game level seek improvement . ad overrun , free , excellent program .",1
36,"time play angry bird don'tthink impression ! , purchase angry bird gamei hand ! 'fuss ' ! ! !",1
37,apps kindle fire love playing . great passing time . ad n't bother small box top screen notice . worth paying,1
38,1st app downloaded kindle fire love ! wi-fi play ! 's great app time-waster .,1
39,game time phone . put snake nokia brick .,1
40,"addictive . play hour . game installed fire , played .",1
41,"fun challenge , star , nice graphic gameplay , kill time .",1
42,fun addictingso pay money itonly winner play game ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,1
43,fun game freeze n't work game 're . device,1
44,"fun fun fun fun , busy . stop playing . challenging , game make angry , , win .",1
45,"high quality game . fast , crystal clear . amazing game popular , free ! level accomplish angry bird pro.~ jessie",1
46,awesome & iexcl ; ! ! ! ! ! ! ! ' ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! x . ! & iexcl ; ! ! cgdixjcv dnjdxjx gcfjxcb fvcv hxgrdh,1
47,"watch ! addicting game , fun age ! kill time , waste time .",1
48,love game . fun age . wait tired tablet play .,1
49,downloaded free version tween 's kindle fire ( age 9 74 ) blast playing game level challenge . graphic sound great .,1
50,'m call gamer game found addicting . make nut fail .,1
51,"probably n't , 've living rock year . work champ kindle fire .",1
52,? n't improve perfection . great traveling time relax .,1
53,angry bird space folding kindle fire ? jrdhdhdh fhd dud dvd dud db 's dhdjsbd fhdbfjs sjdddhdx dud dud,1
54,"probs operating game , 2 star ! help pas time , help mind active !",1
55,found angry bird n't played friend phone hooked . ipod killed battery . husband bought kindle fire valentine day playing angry bird,1
56,angry bird ; loved n't stop playing ! played . hard level beat ; walk-through pas . plenty level . completed level ;,1
57,played game hooked . spend hour defeat pig . kid hooked game .,1
58,"wait doctor , dmv , wife shopping",1
59,"n't enjoy classic game angry bird , tv show game . friend 's teach opossum away started playing angry bird .",1
60,n't angrybirds ? paid version n't annoying add . blocking shot !,1
61,n't angry bird ? love angry bird ! n't n't ! love angry bird ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,1
62,n't love app . family enjoys playing gamealways fun playing angrybirds hope theyp upwith newbirds,1
63,"hate ? wi-fi required ? wi-fi download , complaining ? ad ? 're tiny ! bother ! n't download ? n't make game stupid.this game time ! ! ! .... , time",1
64,give low score add disruptive great free game listen low score,1
65,"wish downloaded game ! ! ! ! playing time ! ! ! ! sooo 'angry ' puzzle , continually back .",1
66,work great kindle fire.it free app loaded work great day._never problem .,1
67,wow angry bird soooooooo fun expecialy kindle fire love love game universe ! ! ! ! ! ! ! ! ! ! ! ! ! ! : - ) ) ) ) ) ) ) love g.sonnier,1
68,"wow , great . complain ? trust . trust , 'm doctor ( )",1
69,ad annoying free ! love launch bird pig . make feel giddy inside !,1
70,. game fire . . 's fun game play .,1
71,"yipee angry bird ! n't cell phone 've coveting game niece showed play . offering kindle fire hd , loving . 5 star .",1
72,play app day night . day completed half level ! stop reading reveiws buy !,1
73,kill pig start stop buy,1
74,"fun ! person put 1star crazy . 'd stupid n't it.your wasting time reading , app game !",1
75,"full version , quote , ad-free ? , n't full version . free version . consider app ad deal - n't restrict amount level . 's , call ,",1
76,hooked addicted game.let funnnn game stop playing .. fun ! ! ! ! ( :,1
77,love game . gave game star rating lunitic,1
78,call mario ? ? ? 'professional reviewer ' high ? ? ? fling bird bone . zero replay value .,0
79,"angry book ! moron waste time playing azimuth slingshot call cultural phenomenon ... word ( ? ? ? ) ... , moron ! ! ! 5 minute played scar !",0
80,argry bird free play game kindlefirebecause free . play .,0
81,"stand game . love concept played type . give developer credit creating level , hour . sound irritating . constant chirp annoying heck , play soun",0
82,n't point game . 's impossible knock stupid bird . waste time ?,0
83,craft make apps buy . fun fun fun . stand strong apps . let fight craft pocket addition . let strike ! ! ! madden.no freedem apps ! ! ! ! ! ! ! ! ! ! ! !,0
84,game great . rated sling shot bird kill pig ... rated,0
85,game ... retarded lack word . n't n't recommended bother .,0
86,game switch free original angry bird . n't ad interfering game .,0
87,thr upgrade soooooooooooooooooo . fun lille fish free fun,1
88,"hey 's angry bird , 's love ! easy kindle hd spend hour angry dang bird stomping pig , shot !",1
89,"n't believe hard hit target n't make , 's laugh oneself game",1
90,n't .i kid . game,0
91,"pre-installed version . confused , checked online app missing entire level . post suggested downloading newer version . crash moment start .",0
92,hate rid shut kindle stupid ! ! ! ! ! ! ! ! ! ! ? ? ? ? $ $ $ $ $ * & # 9733 ; & # 9733 ; * & # 9733 ;,0
93,hat sucked boring rio sucked,0
94,hear app . smartphone tablet playing time . terrible app . played 3 level n't stand anymore . hate apps doodle jump oth,0
95,"'ll admit , 'm late game wonderful game , boy hooked ! mindless spend hour time . back work ?",1
96,"love angry bird , issue supported game . real issue & # 34 ; supported game & # 34 ; constantly launch full screen ad substantially longer level played . game ad fine , w",0
97,love game level time enjoy update make delete version progress it.now rarely play play level over.why,0
98,wrong game busy n't 's fun . shoot pig bird . 's alp .,0
99,n't great hard frustrating . n't . 'm sad spent money .,0
100,telling & quot ; payment method credit card & quot ; ! ! ? play ! ! helppp,0
101,"play game , lost interest play . !",0
102,'s n't type game deleted . told 's downloaded place .,0
103,"'ve played angry bird daughter tablet fun . free version introduced , dealing advertisement affect enjoyment game . boy , wrong ! 5 minute , removed app ! personally ,",0
104,wish icoulx.not give star rightnow ipod cnt download . credit free app,0
105,"wonder girl . korea , make big usa english album & quot ; 2 different tear & quot ; nick movie , give chance american . support",1
106,"love game play ! word , whats wrong love game ? game ?",1
107,mighty eagle ! ! ! ! mighty eagle plush monday week 's dad mighty eagle plush tuesday monday school sc,1
108,computer game expert game instruction start . n't .,0
109,omg fart :3 awsome ! ! ! ! ! ! ! ! ! beleve love update beacuse added power ups love slingshot make faster,1
110,game stupid graphic primitive . remove kindle . game popping star involve cerebral activity .,0
111,game fun . play . hareder therefor make game boring ! n't angry bird space . wast money . advice .,0
112,update power n't working . uninstalled 3 time n't update fix,0
113,"app worst . level stressful bird moron miss target everytime . shut apps made appmaker , constantly run kill battery .",0
114,"app paid version ad , different form . 's worse , 've uninstalled , amazon n't remove list , constant reminder downloaded app .",0
115,game hard download.it easier easier.but love game free .,0
116,"stupidest game , grandkids , paid money ugh .",0
117,"fun boring fast , challenge n't buzz",0
118,technical . upset removed unit favor game .,0
119,"7 year , boring hard manuver application . game redundant",0
120,bird kill plain sickmy 3 year loved started & # 34 ; killing & # 34 ; thing play time,0
121,"love beloved angry bird character app , fun couple time shirt youtube video , terrible lasting appeal",0
122,"20 godless inbred bafoons giving game 1 star , probably score i. q. kidding , great game , pas time , kid love . catapult castle game",1
123,"apps device n't choose ? stop 's annoying , 'm ready return kindle ! !",0
124,"n't load trio 4.3 & # 34 ; tablet . n't hate . 'll dream tablet , 7 & # 34 ; samsung galaxy 3 .",0
125,angry bird boring knock pig bird flop stuff 's stupid .,0
126,install kindle fire file corupted witch b play game game . b rovio fix .,0
127,n't game . n't hipe . `` kindle fire '' wk.trial period .,0
128,n't boring game . probably n't play . buy lot word review .,0
129,free game added kindle christmas - deleted - alredy added .,0
130,.i n't bird angry.i n't like . fun game .,0
131,. stink . take make stupid pig . quick . bird . frustrating throw kindle room . rovio .,0
132,n't addicted n't life sinking dead dead posting random review,0
133,"n't understand high review great love game . 'm glad n't waste money 99 cent version n't buy 5 cent . n't skill n't entertainment value ,",0
134,n't stand big deal game dad love brother n't stand,0
135,n't understand game popular . found silly boring . hype ?,0
136,doundt fee mighty ehgle rate zero star ......,0
137,guess title 'm young . n't clue about.it 's relevant !,0
138,hate app stink deleted shoot ugly bird kill pig . rovio ? ? ?,0
139,"game boring . character cute , 's . fling bird , smash pig . 's quirk , 's slow . take ten fifteen secon",0
140,"fun , awhile totally boring.i , kindle x-mas , app.but , ..... fun first.worst app .",0
141,"'s regular version , n't . angry bird afficionado .",0
142,"round presented challenge , id win couple round ... ?",0
143,love game boring 3 year ago n't ppl game make game exciting defeate,0
144,ivv news block story open sand box game craft rpg twist great website lot answer question .,0
145,kid game boring game young kid teach aggressive angry,0
146,omb ! love game ! ! ! ! ! game soooooo booooring level ! wtf ? & quot ; excited & quot ; ? n't game . boring .,0
147,grandchild busy grocery shopping n't big rage .,0
148,app plain boring kill pig ( disappointed ) .what point app ? ? ? app ! ! ! ! ! !,0
149,tame soooooo boring . free buy . : ( fling bird @ building .,0
150,pop ups play game ! ! ! frustrating play deal pop ups .,0
151,"turn wifi ad , , , , , , , , , , , , , , , ,",0
152,game death ? game child ! child n't playing game ! n't app !,0
153,", phase killing handheld gaming industry . longer casuals handheld , ... play terrible slingshot game phone 's . , n't",0
154,extremely fun . ad n't n't interfere playing . n't believe waited long .,1
155,angry bird ! part play angry bird hooked internet . love love game ! !,1
156,angry bird game great game . challenging fun learning tool .,1
157,"buy free . worth penny cost . love angry bird ! developer genius . fun , fun game play .",1
158,"free fun , ? enjoy playing angry bird ps3 app kindle , 's nice mini version .",1
159,"free fun , ? bird angry , 's expected , , pig coming !",1
160,chance decompress silly . love complaining cheering level lost .,1
161,"fun game , purchased game amazon.com phone downloaded kindle",1
162,great app highly recommend easy navigate kindle owner fun play,1
163,addicted game . lot fun . mindless game play relax normal everyday toil .,1
164,"n't series game , n't explain . find tablet / smartphone , roku x , addicted solving puzzle .",1
165,played angry bird . uploaded kindle fire fun play ! level hard totally reccomend free deal . : ),1
166,love angry bird ; game kindle fire hd . original favorite !,1
167,"love angry bird addicting , love differnt way play game . love",1
168,play game day . update make experience . waiting update . ad .,1
169,"progression level , great sound affect fun . love playing . , pig bird , fun .",1
170,fun play increase skill make harder level fun play .,1
171,"angry bird , addictive game . easy play , fun , addictive.still improving game , surpassed long time ago .",1
172,'ve allways hear angry bird game play fun play . .,1
173,"daughter ipod kindle fire , ! love game !",1
174,grandson play hook . kindle wanted enjoy . free . free make difference .,1
175,played love . recommend idle time game .,1
176,purchased grand kid game loved beat game .,1
177,fun.it 's make laugh hear pig making noise ... smile n't beat level.like mocking ...,1
178,"goal bird action , stretch back rubber band , aim green pig , knock ! ! !",1
179,"graphic , movement ... smooth . n't glitch sight . ad ? ad ! ? game play notice , pop , creep unnoticed tiny space top",1
180,game great hole family play 's young people.my sister started started 80 's brother 70 's guess n't stop 's game .,1
181,game work great running problem . love kid love evil image worry .,1
182,game app downloaded kindle fire app continuously back play . free apps download uninstalled quickly .... angry bird ! great pas time .,1
183,kindle fire christmas . download free angry bird working . started load 2 hour ago . 2 percent . piece crap : (,0
184,game boring game pointless : kindle fire,0
185,"hard control . adjusting fingertip screen launch bird feel required , . completely ignores attempt launch entirely .",0
186,husband downloaded n't point game . popular ? kid playing n't . fling bird pig ?,0
